Ingredient,Effects
 DODECANAL DIMETHYL ACETAL, FLAVORING AGENT OR ADJUVANT
 2-DODECENAL, FLAVORING AGENT OR ADJUVANT
 (Z)-4-DODECENAL, FLAVORING AGENT OR ADJUVANT
 11-DODECENOIC ACID, FLAVORING AGENT OR ADJUVANT
 9-DODECEN-5-OLIDE, FLAVORING AGENT OR ADJUVANT
 DODECYL BUTYRATE, FLAVORING AGENT OR ADJUVANT
 DODECYL GALLATE, ANTIOXIDANT
 DODECYL ISOBUTYRATE, FLAVORING AGENT OR ADJUVANT
 DODECYL LACTATE, FLAVORING AGENT OR ADJUVANT
 N-DODECYLMERCAPTAN, FLAVORING AGENT OR ADJUVANT
 ALPHA-(P-DODECYLPHENYL)-OMEGA-HYDROXYPOLY(OXYETHYLENE),Not Available
 DODECYL PROPIONATE, FLAVORING AGENT OR ADJUVANT
" DOG GRASS, EXTRACT (AGROPYRON REPENS (L.) BEAUV.)"," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
" D-8-P-MENTHENE-1,2-EPOXIDE", FLAVORING AGENT OR ADJUVANT
" DRAGON'S BLOOD, EXTRACT (DAEMONOROPS SPP. OR OTHER BOTANICAL SOURCES)", FLAVORING AGENT OR ADJUVANT
 DRIED ALGAE MEAL," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 DULCIN--PROHIBITED, NON-NUTRITIVE SWEETENER
" EDTA, DISODIUM IRON"," SEQUESTRANT, STABILIZER OR THICKENER"
" EDTA, TETRASODIUM"," BOILER WATER ADDITIVE, WASHING OR SURFACE REMOVAL AGENT"
" (2E,6E,8E)-N-(2-METHYLPROPYL)-2,6,8-DECATRIENAMIDE", FLAVORING AGENT OR ADJUVANT
 EGG WHITE LYSOZYME," ANTIMICROBIAL AGENT, ENZYME"
 ELDER FLOWERS (SAMBUCUS CANADENSIS L. OR SAMBUCUS NIGRA L.)," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
" ELDER FLOWERS, EXTRACT (SAMBUCUS CANADENSIS L. OR SAMBUCUS NIGRA L.)"," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 ELDER TREE LEAVES (SAMBUCUS NIGRA L.), FLAVORING AGENT OR ADJUVANT
" ELECAMPANE ROOT, EXTRACT (INULA HELENIUM L.)",Not Available
" ELECAMPANE ROOT, OIL (INULA HELENIUM L.)", FLAVORING AGENT OR ADJUVANT
" ELEMI, GUM"," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
" ELEMI, OIL (CANARIUM SPP.)"," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 ENZYME-MODIFIED FATS,Not Available
" ENZYMES, BACTERIAL"," ENZYME, PROCESSING AID"
" ENZYMES, PROTEOLYTIC"," EMULSIFIER OR EMULSIFIER SALT, ENZYME, FORMULATION AID, MALTING OR FERMENTING AID, PROCESSING AID"
 EPICHLOROHYDRIN CROSSLINKED WITH AMMONIA, PROCESSING AID
" (+/-)-2,8-EPITHIO-CIS-P-MENTHANE", FLAVORING AGENT OR ADJUVANT
" 2,3-EPOXYDECANAL", FLAVORING AGENT OR ADJUVANT
" 4,5-EPOXY-(E)-2-DECENAL", FLAVORING AGENT OR ADJUVANT
" 2,3-EPOXYHEPTANAL", FLAVORING AGENT OR ADJUVANT
" 2,3-EPOXYOCTANAL", FLAVORING AGENT OR ADJUVANT
 EPOXYOXOPHORONE, FLAVORING AGENT OR ADJUVANT
 EPSILON-DECALACTONE, FLAVORING AGENT OR ADJUVANT
" ERIGERON, OIL (ERIGERON CANADENSIS L.)", FLAVORING AGENT OR ADJUVANT
 (+/-)-ERIODICTYOL, FLAVORING AGENT OR ADJUVANT
 ERYTHORBIC ACID," ANTIMICROBIAL AGENT, ANTIOXIDANT, COLOR OR COLORING ADJUNCT, CURING OR PICKLING AGENT, FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 ESTERASE-LIPASE FROM MUCOR MIEHEI, ENZYME
 ESTRAGOLE, FLAVORING AGENT OR ADJUVANT
" ETHANE-1,1-DITHIOL", FLAVORING AGENT OR ADJUVANT
" 1,2-ETHANEDITHIOL", FLAVORING AGENT OR ADJUVANT
" ETHANESULFONIC ACID, 2-(1-(DIFLUORO-((TRIFLUOROETHENYL)OXY)METHYL)-1,2,2,2-TETRAFLUOROETHOXY)-1,1,2,2-TETRAFLUORO-, POLYMER WITH TETRAFLUOROETHANE",Not Available
 ETHANETHIOL, FLAVORING AGENT OR ADJUVANT
 P-ETHOXYBENZALDEHYDE, FLAVORING AGENT OR ADJUVANT
 N-[(ETHOXYCARBONYL)METHYL)-P-MENTHANE-3-CARBOXAMIDE, FLAVORING AGENT OR ADJUVANT
 2-ETHOXY-3-ETHYLPYRAZINE, FLAVORING AGENT OR ADJUVANT
 2-ETHOXY-3-ISOPROPYLPYRAZINE, FLAVORING AGENT OR ADJUVANT
 1-ETHOXY-3-METHYL-2-BUTENE, FLAVORING AGENT OR ADJUVANT
 O-(ETHOXYMETHYL)PHENOL, FLAVORING AGENT OR ADJUVANT
 ETHOXYQUIN, ANTIOXIDANT
 2-ETHOXYTHIAZOLE," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 ETHYL ABIETATE, FLAVORING AGENT OR ADJUVANT
 ETHYL ACETATE," COLOR OR COLORING ADJUNCT, FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT, SOLVENT OR VEHICLE"
 ETHYL ACETOACETATE, FLAVORING AGENT OR ADJUVANT
 ETHYL ACETOACETATE ETHYLENEGLYCOL KETAL, FLAVORING AGENT OR ADJUVANT
 (+/-)-ETHYL 3-ACETOXY-2-METHYLBUTYRATE, FLAVORING AGENT OR ADJUVANT
 ETHYL 5-ACETOXYOCTANOATE, FLAVORING AGENT OR ADJUVANT
 S-ETHYL 2-ACETYLAMINOETHANETHIOATE, FLAVORING AGENT OR ADJUVANT
 ETHYL ALPHA-ACETYLCINNAMATE, FLAVORING AGENT OR ADJUVANT
 ETHYL 2-ACETYLHEXANOATE, FLAVORING AGENT OR ADJUVANT
 ETHYL 2-ACETYLOCTANOATE, FLAVORING AGENT OR ADJUVANT
 ETHYL 2-ACETYL-3-PHENYLPROPIONATE, FLAVORING AGENT OR ADJUVANT
 1-ETHYL-2-ACETYLPYRROLE, FLAVORING AGENT OR ADJUVANT
 ETHYL 4-(ACETYLTHIO)BUTYRATE, FLAVORING AGENT OR ADJUVANT
 ETHYL ACONITATE (MIXED ESTERS), FLAVORING AGENT OR ADJUVANT
 ETHYL ALCOHOL," ANTIMICROBIAL AGENT, EMULSIFIER OR EMULSIFIER SALT, FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT, PROCESSING AID, SOLVENT OR VEHICLE"
 ETHYLAMINE, FLAVORING AGENT OR ADJUVANT
 ETHYL P-ANISATE, FLAVORING AGENT OR ADJUVANT
 ETHYL ANTHRANILATE, FLAVORING AGENT OR ADJUVANT
 4-ETHYLBENZALDEHYDE, FLAVORING AGENT OR ADJUVANT
 ETHYL BENZOATE, FLAVORING AGENT OR ADJUVANT
 ETHYL BENZOYLACETATE, FLAVORING AGENT OR ADJUVANT
 ETHYL BRASSYLATE, FLAVORING AGENT OR ADJUVANT
 2-ETHYLBUTYL ACETATE, FLAVORING AGENT OR ADJUVANT
 2-ETHYLBUTYRALDEHYDE, FLAVORING AGENT OR ADJUVANT
 ETHYL BUTYRATE, FLAVORING AGENT OR ADJUVANT
 2-ETHYLBUTYRIC ACID, FLAVORING AGENT OR ADJUVANT
 ETHYL CELLULOSE," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT, FORMULATION AID, SOLVENT OR VEHICLE, STABILIZER OR THICKENER"
 ETHYL CINNAMATE, FLAVORING AGENT OR ADJUVANT
 ETHYL CROTONATE, FLAVORING AGENT OR ADJUVANT
 ETHYL CYCLOHEXANECARBOXYLATE, FLAVORING AGENT OR ADJUVANT
 ETHYL CYCLOHEXANEPROPIONATE, FLAVORING AGENT OR ADJUVANT
" ETHYL TRANS-2,CIS-4-DECADIENOATE", FLAVORING AGENT OR ADJUVANT
 ETHYL DECANOATE, FLAVORING AGENT OR ADJUVANT
" ETHYL 2,4,7-DECATRIENOATE", FLAVORING AGENT OR ADJUVANT
 ETHYL TRANS-2-DECENOATE, FLAVORING AGENT OR ADJUVANT
 ETHYL TRANS-4-DECENOATE, FLAVORING AGENT OR ADJUVANT
" ETHYL 4,5-DIHYDRO-2,5-DIMETHYL-4-OXO-3-FURANCARBOXYLATE", FLAVORING AGENT OR ADJUVANT
" 2-ETHYL-2,5-DIHYDRO-4-METHYLTHIAZOLE", FLAVORING AGENT OR ADJUVANT
" 4-ETHYL-2,6-DIMETHOXYPHENOL", FLAVORING AGENT OR ADJUVANT
" 2(4)-ETHYL-4(2),6-DIMETHYLDIHYDRO-1,3,5-DITHIAZINE (MIXTURE OF ISOMERS)", FLAVORING AGENT OR ADJUVANT
" 2-ETHYL-4,5-DIMETHYLOXAZOLE", FLAVORING AGENT OR ADJUVANT
" 3-ETHYL-2,6-DIMETHYLPYRAZINE", FLAVORING AGENT OR ADJUVANT
" 5-ETHYL-2,3-DIMETHYLPYRAZINE", FLAVORING AGENT OR ADJUVANT
" ETHYL 2,4-DIOXOHEXANOATE", FLAVORING AGENT OR ADJUVANT
 ETHYLENEDIAMINE, TRACER
 ETHYLENEDIAMINETETRAACETIC ACID DISODIUM SALT, FLAVORING AGENT OR ADJUVANT
 ETHYLENE DICHLORIDE, FUMIGANT
 ETHYLENE GLYCOL DISTEARATE,Not Available
 ETHYLENE GLYCOL MONOBUTYL ETHER, WASHING OR SURFACE REMOVAL AGENT
 ETHYLENE GLYCOL MONOETHYL ETHER," FORMULATION AID, SOLVENT OR VEHICLE"
 ETHYLENE GLYCOL MONOPHENYL ETHER, FLAVORING AGENT OR ADJUVANT
 ETHYLENE OXIDE--NLFG," ANTIMICROBIAL AGENT, FUMIGANT"
 ETHYLENE OXIDE POLYMER, STABILIZER OR THICKENER
" ETHYLENE OXIDE POLYMER, ALKYL ADDUCT",Not Available
" ETHYLENE OXIDE POLYMER, ALKYL ADDUCT, PHOSPHATE ESTER", WASHING OR SURFACE REMOVAL AGENT
 ETHYLENE OXIDE/PROPYLENE OXIDE COPOLYMER," DOUGH STRENGTHENER, DRYING AGENT, STABILIZER OR THICKENER, SURFACE-ACTIVE AGENT"
" ETHYLENE OXIDE/PROPYLENE OXIDE COPOLYMER (AVG M W 14,000)"," DOUGH STRENGTHENER, LEAVENING AGENT, PROCESSING AID, STABILIZER OR THICKENER, SURFACE-ACTIVE AGENT"
" ETHYLENE OXIDE/PROPYLENE OXIDE COPOLYMER (MIN AVG M W 1,900)"," DOUGH STRENGTHENER, LEAVENING AGENT, PROCESSING AID, STABILIZER OR THICKENER, SURFACE-ACTIVE AGENT"
" ETHYLENE OXIDE/PROPYLENE OXIDE COPOLYMER (AVG M W 3,500-4,125)"," DOUGH STRENGTHENER, LEAVENING AGENT, PROCESSING AID, STABILIZER OR THICKENER, SURFACE-ACTIVE AGENT"
" ETHYLENE OXIDE/PROPYLENE OXIDE COPOLYMER (AVG M W 9,760 - 13,200)"," DOUGH STRENGTHENER, LEAVENING AGENT, PROCESSING AID, STABILIZER OR THICKENER, SURFACE-ACTIVE AGENT"
" ETHYLENE OXIDE/PROPYLENE OXIDE COPOLYMER, ALKYL ADDUCT", WASHING OR SURFACE REMOVAL AGENT
" ETHYLENE OXIDE/PROPYLENE OXIDE COPOLYMER, ALKYL ADDUCT, PHOSPHATE ESTER", WASHING OR SURFACE REMOVAL AGENT
 ETHYL ESTERS OF FATTY ACIDS (EDIBLE),Not Available
 ETHYL N-ETHYLANTHRANILATE, FLAVORING AGENT OR ADJUVANT
 ETHYL 2-ETHYLBUTYRATE, FLAVORING AGENT OR ADJUVANT
 ETHYL 2-ETHYLHEXANOATE, FLAVORING AGENT OR ADJUVANT
 ETHYL ALPHA-ETHYL-BETA-METHYL-BETA-PHENYLGLYCIDATE, FLAVORING AGENT OR ADJUVANT
 ETHYL 2-ETHYL-3-PHENYLPROPANOATE, FLAVORING AGENT OR ADJUVANT
 ETHYL 3-(ETHYLTHIO)BUTYRATE, FLAVORING AGENT OR ADJUVANT
 ETHYL FORMATE, FLAVORING AGENT OR ADJUVANT
 2-ETHYLFURAN, FLAVORING AGENT OR ADJUVANT
 ETHYL 2-FURANPROPIONATE, FLAVORING AGENT OR ADJUVANT
 ETHYL FURFURYL ETHER, FLAVORING AGENT OR ADJUVANT
 ETHYL 3-(FURFURYLTHIO) PROPIONATE, FLAVORING AGENT OR ADJUVANT
 (E)-ETHYL 3-(2-FURYL)ACRYLATE, FLAVORING AGENT OR ADJUVANT
 4-ETHYLGUAIACOL," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 ETHYL HEPTANOATE, FLAVORING AGENT OR ADJUVANT
 2-ETHYL-2-HEPTENAL, FLAVORING AGENT OR ADJUVANT
" ETHYL 4-HEPTENOATE, CIS-", FLAVORING AGENT OR ADJUVANT
 2-ETHYLHEXANETHIOL, FLAVORING AGENT OR ADJUVANT
 ETHYL HEXANOATE, FLAVORING AGENT OR ADJUVANT
 2-ETHYL-1-HEXANOL, FLAVORING AGENT OR ADJUVANT
 2-ETHYL-2-HEXENAL, FLAVORING AGENT OR ADJUVANT
 ETHYL 2-HEXENOATE, FLAVORING AGENT OR ADJUVANT
 ETHYL 3-HEXENOATE," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 ETHYL CIS-3-HEXENOATE, FLAVORING AGENT OR ADJUVANT
 ETHYL 5-HEXENOATE, FLAVORING AGENT OR ADJUVANT
 2-ETHYLHEXYL BENZOATE, FLAVORING AGENT OR ADJUVANT
 2-ETHYLHEXYL 3-MERCAPTOPROPIONATE, FLAVORING AGENT OR ADJUVANT
 1-ETHYLHEXYL TIGLATE, FLAVORING AGENT OR ADJUVANT
 ETHYL 3-HYDROXYBUTYRATE, FLAVORING AGENT OR ADJUVANT
 3-ETHYL-2-HYDROXY-2-CYCLOPENTEN-1-ONE, FLAVORING AGENT OR ADJUVANT
 ETHYL 5-HYDROXYDECANOATE, FLAVORING AGENT OR ADJUVANT
 ETHYL 2-HYDROXYETHYL SULFIDE, FLAVORING AGENT OR ADJUVANT
 ETHYL 3-HYDROXYHEXANOATE," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 (+/-)-ETHYL 2-HYDROXY-2-METHYLBUTYRATE, FLAVORING AGENT OR ADJUVANT
 (+/-)-ETHYL 3-HYDROXY-2-METHYLBUTYRATE, FLAVORING AGENT OR ADJUVANT
 3-ETHYL-2-HYDROXY-4-METHYLCYCLOPENT-2-EN-1-ONE, FLAVORING AGENT OR ADJUVANT
 5-ETHYL-2-HYDROXY-3-METHYLCYCLOPENT-2-EN-1-ONE, FLAVORING AGENT OR ADJUVANT
 2-ETHYL-4-HYDROXY-5-METHYL-3(2H)-FURANONE," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 5-ETHYL-3-HYDROXY-4-METHYL-2(5H)-FURANONE," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 (+/-)-ETHYL 2-HYDROXY-3-METHYLVALERATE, FLAVORING AGENT OR ADJUVANT
 ETHYL 3-HYDROXYOCTANOATE, FLAVORING AGENT OR ADJUVANT
 ETHYL 5-HYDROXYOCTANOATE, FLAVORING AGENT OR ADJUVANT
 ETHYL 2-HYDROXY-3-PHENYLPROPIONATE, FLAVORING AGENT OR ADJUVANT
 ETHYL ISOBUTYRATE, FLAVORING AGENT OR ADJUVANT
 N-ETHYL-2-ISOPROPYL-5-METHYLCYCLOHEXANE CARBOXAMIDE," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 ETHYL ISOTHIOCYANATE, FLAVORING AGENT OR ADJUVANT
 ETHYL ISOVALERATE, FLAVORING AGENT OR ADJUVANT
 ETHYL LACTATE, FLAVORING AGENT OR ADJUVANT
 ETHYL LAURATE, FLAVORING AGENT OR ADJUVANT
 ETHYL LEVULINATE, FLAVORING AGENT OR ADJUVANT
 ETHYL LEVULINATE PROPYLENEGLYCOL KETAL, FLAVORING AGENT OR ADJUVANT
 ETHYL LINALYL ETHER, FLAVORING AGENT OR ADJUVANT
 ETHYL MALTOL," COLOR OR COLORING ADJUNCT, FLAVORING AGENT OR ADJUVANT, PROCESSING AID"
 ETHYL MALTOL ISOBUTYRATE, FLAVORING AGENT OR ADJUVANT
 ETHYL 3-MERCAPTOBUTYRATE, FLAVORING AGENT OR ADJUVANT
 (+/-)-ETHYL 3-MERCAPTO-2-METHYLBUTANOATE, FLAVORING AGENT OR ADJUVANT
 ETHYL 2-MERCAPTO-2-METHYLPROPIONATE, FLAVORING AGENT OR ADJUVANT
 ETHYL 2-MERCAPTOPROPIONATE," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 ETHYL 3-MERCAPTOPROPIONATE," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 ETHYL N-METHYLANTHRANILATE, FLAVORING AGENT OR ADJUVANT
 ETHYL 2-METHYLBUTYRATE, FLAVORING AGENT OR ADJUVANT
 ETHYL METHYL DISULFIDE, FLAVORING AGENT OR ADJUVANT
 ETHYL 2-(METHYLDITHIO)PROPIONATE, FLAVORING AGENT OR ADJUVANT
" ETHYL 2-METHYL-3,4-PENTADIENOATE"," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 ETHYL 2-METHYLPENTANOATE, FLAVORING AGENT OR ADJUVANT
 ETHYL 3-METHYLPENTANOATE, FLAVORING AGENT OR ADJUVANT
 ETHYL 4-METHYLPENTANOATE, FLAVORING AGENT OR ADJUVANT
 ETHYL 2-METHYL-3-PENTENOATE, FLAVORING AGENT OR ADJUVANT
 ETHYL 2-METHYL-4-PENTENOATE, FLAVORING AGENT OR ADJUVANT
 2-ETHYL-5-METHYLPYRAZINE, FLAVORING AGENT OR ADJUVANT
 2-ETHYL-6-METHYLPYRAZINE, FLAVORING AGENT OR ADJUVANT
 3-ETHYL-2-METHYLPYRAZINE, FLAVORING AGENT OR ADJUVANT
 5-ETHYL-2-METHYLPYRIDINE, FLAVORING AGENT OR ADJUVANT
 2-ETHYL-4-METHYLTHIAZOLE, FLAVORING AGENT OR ADJUVANT
 5-ETHYL-2-METHYLTHIAZOLE, FLAVORING AGENT OR ADJUVANT
 ETHYL 2-(METHYLTHIO)ACETATE, FLAVORING AGENT OR ADJUVANT
 ETHYL 3-(METHYLTHIO)BUTYRATE, FLAVORING AGENT OR ADJUVANT
 ETHYL 4-(METHYLTHIO) BUTYRATE, FLAVORING AGENT OR ADJUVANT
 ETHYL 3-(METHYLTHIO)-CIS-2-PROPENOATE, FLAVORING AGENT OR ADJUVANT
 ETHYL 3-(METHYLTHIO)-2-PROPENOATE, FLAVORING AGENT OR ADJUVANT
 ETHYL 3-METHYLTHIOPROPIONATE, FLAVORING AGENT OR ADJUVANT
 2-ETHYL-3-METHYLTHIOPYRAZINE, FLAVORING AGENT OR ADJUVANT
 ETHYL 3-(METHYLTHIO)-TRANS-2-PROPENOATE, FLAVORING AGENT OR ADJUVANT
 ETHYL 5-(METHYLTHIO)VALERATE, FLAVORING AGENT OR ADJUVANT
 ETHYL METHYL-P-TOLYLGLYCIDATE, FLAVORING AGENT OR ADJUVANT
 2-ETHYL-(3 OR 5 OR 6)-MOP(85%) AND 2-METHYL-(3 OR 5 OR 6)-MOP(13%), FLAVORING AGENT OR ADJUVANT
 ETHYL MYRISTATE, FLAVORING AGENT OR ADJUVANT
 ETHYL NITRITE, FLAVORING AGENT OR ADJUVANT
 N-ETHYL TRANS-2-CIS-6-NONADIENAMIDE, FLAVORING AGENT OR ADJUVANT
 ETHYL NONANOATE, FLAVORING AGENT OR ADJUVANT
 ETHYL 2-NONYNOATE, FLAVORING AGENT OR ADJUVANT
 ETHYL OCTADECANOATE, FLAVORING AGENT OR ADJUVANT
" ETHYL CIS-4,7-OCTADIENOATE", FLAVORING AGENT OR ADJUVANT
 (+/-)-4-ETHYLOCTANAL, FLAVORING AGENT OR ADJUVANT
 ETHYL OCTANOATE, FLAVORING AGENT OR ADJUVANT
 4-ETHYLOCTANOIC ACID, FLAVORING AGENT OR ADJUVANT
 ETHYL TRANS-2-OCTENOATE, FLAVORING AGENT OR ADJUVANT
 ETHYL 3-OCTENOATE, FLAVORING AGENT OR ADJUVANT
 ETHYL CIS-4-OCTENOATE, FLAVORING AGENT OR ADJUVANT
 ETHYL OLEATE," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
" 2-ETHYL-3,(5 OR 6)-DIMETHYLPYRAZINE", FLAVORING AGENT OR ADJUVANT
 ETHYL 5-OXODECANOATE, FLAVORING AGENT OR ADJUVANT
 ETHYL 3-OXOHEXANOATE, FLAVORING AGENT OR ADJUVANT
 ETHYL PALMITATE, FLAVORING AGENT OR ADJUVANT
 ETHYL 4-PENTENOATE, FLAVORING AGENT OR ADJUVANT
 P-ETHYLPHENOL," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT, PROCESSING AID, SURFACE-FINISHING AGENT"
 ETHYL PHENYLACETATE, FLAVORING AGENT OR ADJUVANT
 ETHYL 4-PHENYLBUTYRATE," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 ETHYL 3-PHENYLGLYCIDATE, FLAVORING AGENT OR ADJUVANT
 ETHYL 3-PHENYLPROPIONATE, FLAVORING AGENT OR ADJUVANT
 ETHYL PROPIONATE, FLAVORING AGENT OR ADJUVANT
 ETHYL PROPYL DISULFIDE, FLAVORING AGENT OR ADJUVANT
 ETHYL PROPYL TRISULFIDE, FLAVORING AGENT OR ADJUVANT
 2-ETHYLPYRAZINE," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 3-ETHYLPYRIDINE, FLAVORING AGENT OR ADJUVANT
 1-ETHYL-2-PYRROLECARBOXALDEHYDE, FLAVORING AGENT OR ADJUVANT
 ETHYL PYRUVATE, FLAVORING AGENT OR ADJUVANT
 ETHYL SALICYLATE, FLAVORING AGENT OR ADJUVANT
 ETHYL SORBATE," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 ETHYL THIOACETATE," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 (+/-)-3-(ETHYLTHIO)BUTANOL, FLAVORING AGENT OR ADJUVANT
 2-ETHYLTHIOPHENOL," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 ETHYL TIGLATE," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 ETHYL TRANS-2-HEXENOATE," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 ETHYL TRANS-2-METHYL-2-PENTENOATE, FLAVORING AGENT OR ADJUVANT
" 2-ETHYL-1,3,3-TRIMETHYL-2-NORBORNANOL"," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 ETHYL UNDECANOATE," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 ETHYL 10-UNDECENOATE," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 ETHYL VALERATE," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 ETHYL VANILLIN," FLAVORING AGENT OR ADJUVANT, PH CONTROL AGENT"
 ETHYL VANILLIN BETA-D-GLUCOPYRANOSIDE, FLAVORING AGENT OR ADJUVANT
 ETHYL VANILLIN ISOBUTYRATE, FLAVORING AGENT OR ADJUVANT
 ETHYL VANILLIN PROPYLENE GLYCOL ACETAL, FLAVORING AGENT OR ADJUVANT
 EUCALYPTOL, FLAVORING AGENT OR ADJUVANT
" EUCALYPTUS, OIL (EUCALYPTUS GLOBULUS LABILLE)", FLAVORING AGENT OR ADJUVANT
 EUGENOL, FLAVORING AGENT OR ADJUVANT
 EUGENYL ACETATE, FLAVORING AGENT OR ADJUVANT
 EUGENYL BENZOATE, FLAVORING AGENT OR ADJUVANT
 EUGENYL FORMATE, FLAVORING AGENT OR ADJUVANT
 EUGENYL ISOVALERATE, FLAVORING AGENT OR ADJUVANT
" (2E,6Z,8E)-N-(2-METHYLPROPYL)-2,6,8-DECATRIENAMIDE", FLAVORING AGENT OR ADJUVANT
 FARNESAL, FLAVORING AGENT OR ADJUVANT
 FARNESENE, FLAVORING AGENT OR ADJUVANT
 FARNESOL, FLAVORING AGENT OR ADJUVANT
 FATTY ACIDS," FORMULATION AID, LUBRICANT OR RELEASE AGENT, SURFACE-ACTIVE AGENT, SURFACE-FINISHING AGENT"
" FATTY ALCOHOLS, SYNTHETIC",Not Available
 FD&C BLUE NO. 1," COLOR OR COLORING ADJUNCT, FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
" FD&C BLUE NO. 1, ALUMINUM LAKE", COLOR OR COLORING ADJUNCT
" FD&C BLUE NO. 1, CALCIUM LAKE", COLOR OR COLORING ADJUNCT
 FD&C BLUE NO. 2, COLOR OR COLORING ADJUNCT
" FD&C BLUE NO. 2, CALCIUM LAKE", COLOR OR COLORING ADJUNCT
 FD&C GREEN NO. 1--DELISTED,Not Available
 FD&C GREEN NO. 2--DELISTED,Not Available
" FD&C GREEN NO. 3, CALCIUM LAKE", COLOR OR COLORING ADJUNCT
 FD&C RED NO. 1--DELISTED,Not Available
 FD&C RED NO. 2--DELISTED,Not Available
" FD&C RED NO. 3, ALUMINUM LAKE--DELISTED",Not Available
" FD&C RED NO. 3, CALCIUM LAKE--DELISTED",Not Available
 FD&C RED NO. 4--DELISTED,Not Available
 FD&C RED NO. 3," COLOR OR COLORING ADJUNCT, SOLVENT OR VEHICLE"
 FD&C RED NO. 40," COLOR OR COLORING ADJUNCT, FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 FD&C VIOLET NO. 1--DELISTED,Not Available
 FD&C YELLOW NO. 5," COLOR OR COLORING ADJUNCT, FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
" FD&C YELLOW NO. 5, ALUMINUM LAKE", COLOR OR COLORING ADJUNCT
" FD&C YELLOW NO. 5, CALCIUM LAKE", COLOR OR COLORING ADJUNCT
 FD&C YELLOW NO. 6," COLOR OR COLORING ADJUNCT, FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
" FD&C YELLOW NO. 6, ALUMINUM LAKE"," COLOR OR COLORING ADJUNCT, FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
" FD&C YELLOW NO. 6, CALCIUM LAKE", COLOR OR COLORING ADJUNCT
 FD&C GREEN NO. 3, COLOR OR COLORING ADJUNCT
" FD&C GREEN NO. 3, ALUMINUM LAKE", COLOR OR COLORING ADJUNCT
" FD&C RED NO. 40, ALUMINUM LAKE", COLOR OR COLORING ADJUNCT
" FD&C RED NO. 40, CALCIUM LAKE", COLOR OR COLORING ADJUNCT
 D-FENCHONE," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
 FENCHYL ALCOHOL," FLAVOR ENHANCER, FLAVORING AGENT OR ADJUVANT"
" FENNEL, COMMON (FOENICULUM VULGARE MILL.)", FLAVORING AGENT OR ADJUVANT
" FENNEL, SWEET (FOENICULUM VULGARE MILL. VAR. DULCE (D.C.) ALEF.)", FLAVORING AGENT OR ADJUVANT
" FENNEL, SWEET, OIL (FOENICULUM VULGARE MILL. VAR. DULCE (D.C.) ALEF.)", FLAVORING AGENT OR ADJUVANT
 FENUGREEK (TRIGONELLA FOENUM-GRAECUM L.), FLAVORING AGENT OR ADJUVANT
" FENUGREEK, EXTRACT (TRIGONELLA FOENUM-GRAECUM L.)", FLAVORING AGENT OR ADJUVANT
