Ingredient,Nutrition,HealthBenefits,HealthRisks,DiseaseConcerned,HealthinessScore
lime essence,Flavor,Flavor enhancement,0,None,8
orange essence,Flavor,Flavor enhancement,0,None,8
rose essence,Flavor,Flavor enhancement,0,None,8
saffron essence,Flavor,Flavor enhancement,0,None,9
cardamom essence,Flavor,Digestive aid,0,None,8
cinnamon essence,Flavor,Antioxidant properties,0,None,8
clove essence,Flavor,"Antimicrobial, analgesic",0,None,8
nutmeg essence,Flavor,Digestive aid,0,None,8
peppermint essence,Flavor,Digestive aid,0,None,8
spearmint essence,Flavor,Digestive aid,0,None,8
hibiscus essence,Flavor,Antioxidant properties,0,None,8
chamomile essence,Flavor,"Relaxation, digestive aid",0,None,9
lavender essence,Flavor,"Relaxation, flavor enhancement",0,None,8
jasmine essence,Flavor,Flavor enhancement,0,None,8
elderflower essence,Flavor,Flavor enhancement,0,None,8
rosehip essence,Flavor,"Vitamin C, flavor enhancement",0,None,8
lemongrass essence,Flavor,"Digestive aid, flavor enhancement",0,None,8
almond essence,Flavor,Flavor enhancement,0,Nut allergies,5
hazelnut essence,Flavor,Flavor enhancement,0,Nut allergies,5
anthocyanins,Natural color,Antioxidant properties,0,None,9
beta-carotene,"Color, Vitamin A","Antioxidant, vitamin A source",0,None,9
chlorophyll,Color,Detoxification properties,0,None,8
riboflavin,Vitamin B2,Energy metabolism,0,None,9
carminic acid,red color,0,Allergies in rare cases,None,5
titanium dioxide,Whitening agent,0,Concerns in nanoparticle form,None,5
propylene glycol alginate,Stabilizer,"Food texture, emulsifier",0,None,6
glycerol esters of wood rosin,Stabilizer,Beverage emulsion stability,0,None,6
bulgur wheat,"Fiber, Protein","Digestive health, blood sugar control",0,Gluten sensitivity,8
couscous,"Protein, Selenium","Energy source, selenium intake",0,Gluten sensitivity,6
polenta,"Carbohydrates, Vitamins","Energy source, gluten-free",0,None,7
arborio rice,Carbohydrates,"Energy source, suitable for risotto",0,None,6
sushi rice,Carbohydrates,0,High glycemic index,Diabetes,5
wild rice,"Protein, Fiber","Nutrient-rich, antioxidant",0,None,9
kodo millet,"Fiber, Phytochemicals","Blood sugar control, weight management",0,None,8
barnyard millet,"Fiber, Iron","Digestive health, iron source",0,None,8
little millet,"Magnesium, Fiber","Heart health, glycemic control",0,None,8
foxtail millet,"Protein, Iron","Immune support, energy",0,None,8
proso millet,"Protein, Vitamins","Energy, nutrient provision",0,None,8
sorghum flour,"Fiber, Protein","Gluten-free, heart health",0,None,8
arrowroot powder,Carbohydrates,"Digestive aid, gluten-free thickener",0,None,7
sago (sabudana),Carbohydrates,"Energy source, non-allergenic",0,None,5
pearl tapioca,Carbohydrates,"Gluten-free, energy source",0,None,5
red kidney beans,"Protein, Fiber","Heart health, digestive aid",0,None,9
lima beans,"Fiber, Manganese","Blood sugar control, energy",0,None,8
adzuki beans,"Protein, Iron","Muscle health, iron source",0,None,9
garbanzo beans,"Protein, Fiber","Heart health, muscle maintenance",0,None,9
cannellini beans,"Protein, Fiber","Weight management, digestive health",0,None,9
fava beans,"Protein, Vitamins","Immune support, energy",0,G6PD deficiency,8
mung dal,"Protein, Fiber","Digestive health, blood sugar control",0,None,9
urad dal,"Protein, Potassium","Energy, bone health",0,None,8
masoor dal,"Protein, Iron","Heart health, energy provision",0,None,9
chana dal,"Fiber, Protein","Digestive health, glycemic control",0,None,9
toor dal,"Protein, Fiber","Energy, digestive health",0,None,9
green moong dal,"Protein, Fiber","Heart health, weight loss",0,None,9
black chickpeas,"Protein, Fiber","Muscle health, digestive aid",0,None,9
white chickpeas,"Protein, Fiber","Heart health, blood sugar control",0,None,9
dalia,"Fiber, Protein","Weight management, energy",0,Gluten sensitivity,7
vermicelli,Carbohydrates,"Energy source, versatile use",0,Gluten sensitivity,5
brown basmati rice,"Fiber, Nutrients","Glycemic control, digestive health",0,None,8
red rice,"Antioxidants, Fiber","Heart health, cholesterol control",0,None,8
bamboo rice,"Protein, Vitamins","Joint health, cholesterol control",0,None,8
black lentils,"Protein, Iron","Energy, heart health",0,None,9
green peas dal,"Protein, Fiber","Heart health, weight management",0,None,9
kabuli chickpeas,"Protein, Fiber","Digestive health, heart health",0,None,9
green chickpeas,"Protein, Vitamins","Muscle health, vitamin intake",0,None,9
jowar flour,"Fiber, Protein","Gluten-free, blood sugar control",0,None,8
bajra flour,"Fiber, Iron","Energy, digestion aid",0,None,8
rajgira flour,"Protein, Calcium","Bone health, energy",0,None,8
singhara flour,Carbohydrates,"Energy source, gluten-free",0,None,7
kuttu flour,"Protein, Fiber","Weight loss, heart health",0,None,8
rice flakes,Carbohydrates,"Easy digestion, energy",0,None,6
beaten rice,Carbohydrates,"Energy source, light meal",0,None,6
idli rice,Carbohydrates,"Fermented foods, digestive health",0,None,6
dosa rice,Carbohydrates,"Fermented foods, energy",0,None,6
matta rice,Nutrients,"Nutrient-rich, energy",0,None,7
ponni rice,Carbohydrates,"Energy source, low GI option",0,None,6
sella rice,Carbohydrates,"Energy, slightly better GI",0,None,6
black salt powder,Minerals,"Digestive aid, flavoring",0,None,7
sea salt flakes,Minerals,0,High sodium intake,Hypertension,6
pink himalayan salt crystals,Minerals,"Electrolyte balance, detoxification",0,Hypertension,6
apple cider vinegar,Acetic acid,"Weight management, digestive aid",0,None,7
balsamic vinegar,Acetic acid,"Flavor, antioxidant properties",0,None,7
rice vinegar,Acetic acid,"Flavor enhancement, mild",0,None,7
white vinegar,Acetic acid,"Cleaning, mild flavoring",0,None,7
red wine vinegar,Acetic acid,"Antioxidant, flavoring",0,None,7
black vinegar,Acetic acid,"Digestive health, flavoring",0,None,7
date vinegar,Acetic acid,"Antioxidant, flavoring",0,None,7
miso paste,"Probiotics, Protein","Digestive health, flavor",0,Hypertension,7
tahini,"Fat, Calcium","Heart health, bone health",0,None,8
tamari,"Soy, Minerals",Gluten-free soy sauce alternative,0,Hypertension,6
sriracha,"Capsaicin, Vinegar","Metabolism, flavor",0,Hypertension,6
gochujang,Fermented soybeans,"Flavor, probiotics",0,Hypertension,6
harissa paste,Capsaicin,"Flavor, metabolism boost",0,None,7
tamarind concentrate,"Acid, Sugar, Digestive aid",0,High sugar content,Diabetes,6
tamarind paste,"Acid, Sugar, Digestive aid",0,High sugar content,Diabetes,6
demerara sugar,Sucrose,0,High sugar content,Diabetes,4
muscovado sugar,"Sucrose, Molasses",0,High sugar content,Diabetes,4
raw sugar,Sucrose,0,High sugar content,Diabetes,4
golden caster sugar,Fine baking sugar,0,High sugar content,Diabetes,4
silvered almonds,"Protein, Fat","Heart health, vitamin E",0,Nut allergies,8
pistachio slivers,"Protein, Healthy fats","Heart health, fiber",0,Nut allergies,8
cashew pieces,"Protein, Magnesium","Bone health, energy",0,Nut allergies,7
walnut halves,"Omega-3, Protein","Brain health, anti-inflammatory",0,Nut allergies,9
pecan halves,"Fats, Fiber","Heart health, antioxidants",0,Nut allergies,8
hazelnuts,"Vitamin E, Protein","Heart health, antioxidants",0,Nut allergies,8
macadamia nuts,"Fats, Minerals","Heart health, satiety",0,Nut allergies,7
brazil nuts,"Selenium, Fats","Thyroid health, antioxidants",0,Selenium overdose alert,8
pine nuts,"Vitamins, Minerals","Energy, appetite suppression",0,Nut allergies,7
dried cranberries,Antioxidants,"UTI prevention, antioxidants",0,Added sugar,6
dried blueberries,Antioxidants,"Cognitive health, antioxidants",0,Added sugar,7
dried apricots,"Fiber, Vitamins","Eye health, digestive health",0,Sulfite sensitivity,7
dried figs,"Fiber, Calcium","Bone health, digestive aid",0,None,8
dried dates,"Fiber, Potassium","Energy, natural sweetness",0,Diabetes,6
golden raisins,Antioxidants,"Snacking, natural sweetness",0,Diabetes,6
sultanas,Antioxidants,"Energy, micronutrients",0,Diabetes,6
currants,"Vitamins, Antioxidants",Antioxidant properties,0,Diabetes,6
sun-dried tomatoes,"Vitamins, Lycopene","Antioxidant, flavor enhancement",0,Hypertension,7
dried mushrooms,"Vitamins, Minerals","Umami flavor, nutrient boost",0,None,8
seaweed flakes,"Iodine, Fiber","Thyroid support, digestion",0,Thyroid disorders,8
nutritional yeast,"B vitamins, Protein","Umami flavor, nutrient boost",0,None,9
ashwagandha,Adaptogens,"Improves stress response, enhances stamina",0,Thyroid conditions,8
triphala,Antioxidant-rich,"Supports digestion, promotes detoxification",0,None,8
brahmi,Brain-boosting chemicals,"Enhances cognitive functions, reduces anxiety",0,None,9
shatavari,Hormonal support agents,"Supports reproductive health, balances hormones",0,None,8
tulsi,Immune-boosting oils,"Strengthens immunity, lowers stress levels",0,None,9
neem,Detoxifying agents,"Improves skin health, purifies blood",0,None,8
amla,Vitamin C Powerhouse,"Boosts immunity, promotes hair and skin health",0,None,9
bhringraj,Liver and hair health compounds,"Promotes hair growth, supports liver detox",0,None,8
guduchi,Immune enhancers,"Boosts immunity, reduces fever symptoms",0,None,9
arjuna,Cardio beneficial compounds,Strengthens heart function,0,Heart conditions,8
giloy,Immune-support compounds,"Enhances overall immunity, good for joint health",0,None,9
kutki,Liver health compounds,"Enhances liver function, aids digestion",0,None,8
haritaki,Digestive support agents,"Promotes digestive health, purifies blood",0,None,8
bibhitaki,Respiratory system compounds,"Supports respiratory health, aids in digestion",0,None,8
jatamansi,Stress relief agents,"Reduces stress, improves sleep quality",0,None,8
ashoka,Female health compounds,"Regulates menstrual cycle, reduces pain",0,None,8
gotu kola,Cognitive function agents,"Improves memory, supports wound healing",0,None,9
moringa,Nutrient-packed,"Enhances nutritional intake, stabilizes blood sugar",0,None,9
turmeric,Anti-inflammatory curcumin,"Reduces inflammation, aids digestion",0,None,9
ginger,Digestive health gingerol,"Soothes nausea, supports digestion",0,None,9
licorice,Soothing glycyrrhizin,"Relieves stomach discomfort, supports adrenal glands",0,Hypertension,7
fennel,Bloating relief elements,"Reduces gas, aids digestion",0,None,8
fenugreek,Blood sugar regulation agents,"Manages blood sugar levels, cholesterol",0,Diabetes,8
cumin,Digestion aid elements,"Stimulates digestion, boosts immunity",0,None,8
coriander,Digestive support agents,Promotes liver function and digestion,0,None,8
long pepper,Respiratory and digestive aid,"Supports respiratory function, enhances digestion",0,None,8
clove,Pain relief and antibacterial,"Eases toothache, has antimicrobial properties",0,None,8
ajwain,Indigestion relief agent,"Treats indigestion, has antiseptic properties",0,None,8
dandelion,Detoxifying elements,"Supports liver health, aids digestion",0,None,8
burdock root,"Fiber, antioxidants","Purifies blood, improves skin health",0,None,8
sarsaparilla,Antioxidant compounds,"Detoxifies body, improves skin health",0,None,8
manjistha,Detox and skin health,"Purifies blood, improves skin tone",0,None,8
shilajit,"Minerals, fulvic acid","Increases energy, improves mineral balance",0,None,8
guggul,Gum resin,"Lowers cholesterol, supports weight loss",0,None,7
boswellia,Anti-inflammatory,"Reduces inflammation, aids joint health",0,None,8
valerian,Sleep aid,"Improves sleep quality, reduces anxiety",0,None,8
bacopa,Brain tonic,"Enhances brain function, reduces stress",0,None,9
holy basil,Adaptogen,"Reduces stress, lowers blood sugar",0,Diabetes,9
rhodiola,Adaptogen,Improves mental and physical stamina,0,None,8
hawthorn,Heart health,Supports cardiovascular health,0,Heart conditions,8
milk thistle,Liver protector,Detoxifies and protects liver,0,None,8
dill seeds,Digestive aid,"Improves digestion, soothes colic",0,None,8
camphor,Topical analgesic,"Relieves pain, reduces itchiness",0,Can be toxic if ingested,6
vacha,Cognitive enhancer,"Improves speech clarity, aids memory",0,High doses can be neurotoxic,7
kalmegh,Immune booster,"Strengthens immunity, detoxifies liver",0,None,8
punarnava,Diuretic,"Reduces water retention, supports kidney health",0,None,8
chyawanprash,Nutrient-rich jam,"Boosts immunity, enhances digestion",0,Diabetes,7
trikatu,Digestive stimulant,"Enhances metabolism, aids digestion",0,None,8
chandan,Skin soothing,"Improves skin health, reduces acne",0,None,8
yastimadhu,Gastric relief,"Soothes gastric issues, relieves cough",0,Hypertension,7
anantamul,Blood purifier,"Improves skin health, purifies blood",0,None,8
aritha,Natural cleanser,"Cleans hair, improves scalp health",0,Eye irritation if contact occurs,7
shikakai,Hair tonic,"Promotes hair growth, naturally conditions hair",0,None,8
brahmi oil,Hair and scalp nourishment,"Strengthens hair, improves cognition when massaged into scalp",0,None,8
bala,Strength enhancer,"Improves strength, supports overall vitality",0,None,8
dashamoola,Anti-inflammatory,"Reduces inflammation, supports respiratory health",0,None,8
vidari,Rejuvenative,"Enhances vitality, supports reproductive health",0,None,8
vijaysar,Blood sugar regulator,"Manages diabetes, improves digestion",0,Diabetes,7
nagarmotha,Digestive aid,"Improves digestion, aids weight loss",0,None,8
kapikacchu,Nervous system support,"Supports nervous system, improves vitality",0,None,8
gokshura,Urinary and libido enhancer,"Improves urinary health, enhances libido",0,None,8
kanchnar,Thyroid function regulator,"Regulates thyroid activity, supports lymphatic system",0,Thyroid conditions,7
lodhra,Women's health tonic,"Regulates menstrual cycle, supports skin health",0,None,8
musli,Vitality booster,"Enhances vitality, improves stamina",0,None,8
kalonji,Immune system and digestion,"Strengthens immunity, aids digestion",0,None,8
methi,Blood sugar and lactation,"Controls blood sugar, increases milk production in breastfeeding",0,"Diabetes, Pregnancy",8
senna leaves,Laxative,Relieves constipation,0,Overuse can lead to dependency,6
isabgol,Fiber source,"Relieves constipation, aids in digestion",0,Excessive use can cause bloating,8
henna,Coloring and conditioning,"Colors hair, conditions scalp",0,Rare allergic reactions,7
indigo,Natural dye,Dyes hair naturally without chemicals,0,Rare allergic reactions,7
aloe vera,Hydration and healing,"Moisturizes skin, heals minor burns",0,Overuse can cause skin irritation,9
lemongrass,Essential oils,"Relieves anxiety, aids digestion",0,Possible skin irritation when applied topically,8
mint,Cooling effect,"Soothes digestion, freshens breath",0,None,9
rosemary,Antioxidants,"Improves memory, stimulates hair growth",0,None,8
sage,Antioxidant-rich,"Supports oral health, improves cognition",0,Excessive consumption can be toxic,7
thyme,Antimicrobial,"Supports immunity, cough relief",0,None,8
oregano,Antioxidants and oils,"Antibacterial, anti-inflammatory",0,None,9
tulsi seeds,Adaptogens,"Reduces stress, supports immunity",0,None,9
pumpkin seeds,"Minerals, healthy fats","Improves heart health, prostate health",0,None,9
wheatgrass,"Chlorophyll, nutrients","Detoxification, boosts metabolism",0,None,9
safflower oil,High-oleic,"Supports heart health, good for cooking",0,None,7
krill oil,Omega-3 fatty acids,"Supports heart health, reduces inflammation",0,Shellfish allergies,8
mct oil,Medium-chain triglycerides,"Boosts energy, aids in weight management",0,None,8
algal oil,Omega-3 DHA,"Supports brain health, vegetarian-friendly",0,None,9
adaptogenic herbs,Varies,"Reduces stress, supports energy levels",0,None,8
eleuthero,"Adaptogen, Siberian Ginseng","Increases endurance, reduces stress",0,None,8
fruit purees,"Natural sugars, Vitamins","Adds sweetness and moisture, nutrient boost",0,None,7
potato starch,Carbohydrates,"Thickens without altering taste, gluten-free alternative",0,None,6
rice bran,"Fiber, Antioxidants","Lowers cholesterol, adds nutrients to baked goods",0,None,7
gluten-free baking mix,Varied nutrients based on mix,"Convenient, suitable for gluten intolerance",0,Celiac disease,7
almond meal,"Vitamin E, Healthy fats","Gluten-free baking option, heart-healthy",0,Nut allergies,8
hazelnut meal,"Vitamins, Healthy fats","Rich flavor for pastries, heart-healthy",0,Nut allergies,8
pecan meal,"Antioxidants, Fats","Nutrient-rich, adds flavor to baked goods",0,Nut allergies,7
walnut meal,"Omega-3, Protein","Supports brain health, adds rich texture",0,Nut allergies,8
coconut meat powder,"Fiber, Medium-chain fats","Improves satiety, aids digestion",0,None,7
egg replacer powder (vegan),Varied nutrients,"Mimics eggs in baking, suitable for vegans",0,Egg allergies,7
agar powder,"Gelatinous, Vegan","Vegan gelatin substitute, suitable for jelling",0,None,8
maple flavor,Flavor,Adds maple taste without actual sugar,0,None,6
orange extract,Flavor,Strong orange flavor for baking and desserts,0,None,7
lavender extract,Flavor,Unique floral flavor for baked goods,0,None,8
beet powder,Natural color,"Adds color with nutritional benefits, good for coloring foods naturally",0,None,8
spinach powder,"Vitamins, Iron","Natural coloring, adds nutrients",0,None,7
blueberry powder,Antioxidants,"Flavor and natural coloring, antioxidant benefits",0,None,8
raspberry powder,"Fiber, Flavor",Adds taste and nutrients,0,None,8
carrot juice powder,Beta-carotene,"Natural coloring, vitamin A boost",0,None,7
pumpkin powder,"Vitamins, Fiber","Flavor addition, rich in nutrients",0,None,8
sour cherry powder,Antioxidants,Adds tartness and nutrients,0,None,8
banana powder,"Potassium, Vitamins",Sweetness and moisture in baking,0,None,7
apple powder,"Fiber, Flavor","Natural sweetness, flavor enhancement",0,None,7
pear powder,"Fiber, Flavor",Adds sweetness and moisture,0,None,7
peach powder,"Vitamins, Flavor","Natural sweetness, flavoring",0,None,7
sorghum syrup,Antioxidants,"Sweetener with nutrients, gluten-free",0,Diabetes,6
date sugar,"Fiber, Nutrients","Natural sweetener, nutrient-rich",0,Diabetes,7
birch xylitol,Sugar alcohol,"Low-calorie sweetener, dental health",0,Digestive upset if overconsumed,7
inulin powder,Fiber,"Prebiotic, aids digestion",0,May cause bloating in some,7
psyllium husk powder,Fiber boost in gluten-free baking,0,Excessive intake can cause blockage,None,8
flaxseed meal,"Omega-3, Fiber","Egg substitute, adds omega-3",0,None,8
chia seed gel,"Fiber, Omega-3","Egg substitute, hydration",0,None,8
hemp protein powder,"Protein, Minerals",Protein boost in baked goods,0,None,8
pea protein powder,Protein,Adds protein to baked goods,0,None,8
rice protein powder,Protein,Gluten-free protein addition,0,None,7
black sesame paste,"Antioxidants, Fats",Flavor in Asian bakery items,0,None,8
green tea powder,Antioxidants,"Flavoring cakes, health benefits",0,None,8
coffee powder,"Flavor, Caffeine",Flavoring cakes and cookies,0,None,8
cocoa nibs,Texture and flavor,Adds crunch and chocolatey flavor to baked goods,0,None,8
candied ginger,Flavor,Adds spicy-sweet flavor to baked goods,0,High in sugar,6
dried fruits,"Natural sugars, Fiber",Adds sweetness and texture to breads and cakes,0,High in natural sugars,7
nuts,"Healthy fats, Protein",Adds crunch and nutritional value to baked goods,0,Nut allergies,8
seeds,"Fiber, Nutrients",Adds texture and boosts nutrition in breads,0,None,8
rolled oats,"Fiber, Protein",Adds texture and nutrition to cookies and breads,0,Gluten sensitivity (if not certified GF),7
steel-cut oats,"Fiber, Protein",Provides hearty texture in breads,0,Gluten sensitivity (if not certified GF),7
graham flour,Whole Grain,rich in fiber,0,Gluten sensitivity,7
vital wheat gluten,Protein,0,Gluten presence,Celiac disease,5
dutch-processed cocoa powder,Flavor,Provides rich chocolate flavor in baked goods,0,None,8
powdered egg whites,Protein,Used in meringues and angel food cakes for structure,0,Egg allergies,8
citrus zest,Flavor,Adds fresh flavor to cakes and pastries,0,None,9
edible flowers,Decoration,Beautifies cakes and cupcakes,0,None,8
pearl sugar,Decoration,0,High in sugar,None,6
sanding sugar,Decoration,0,High in sugar,None,6
pretzel salt,Texture and flavor,0,High sodium intake,Hypertension,6
caraway seeds,Flavor,Adds distinctive taste to rye breads,0,None,8
anise seeds,Flavor,"Imparts sweet, licorice flavor to Italian cookies",0,None,8
dried rosemary,Flavor,Adds aromatic flavor to savory baked goods,0,None,8
dried thyme,Flavor,Enhances savory scones and biscuits,0,None,8
dried oregano,Flavor,Brings Italian flavor to breads,0,None,8
Cumin Seeds,"Iron, Magnesium","Digestive aid, boosts immunity",0,None,8
clove powder,Spice,Adds depth to spice cakes and cookies,0,None,8
cardamom powder,Flavor,Brings aromatic spice to Scandinavian and Indian baking,0,None,9
vanilla bean paste,Rich vanilla flavor,Intense vanilla taste for pastries and creams,0,None,9
royal icing,Decoration,0,High in sugar,None,6
ganache,Filling and topping,0,High in fat,None,7
buttercream frosting,Topping,0,High in fat and sugar,None,6
Cream Cheese,"Fat, Protein",0,High in saturated fat,Heart conditions,5
salted caramel,Flavoring and topping,0,High in sugar,None,6
mirror glaze,Decoration,0,High in sugar,None,6
lemon curd,Filling,0,High in fat,None,7
fruit compotes,Fillings or toppings,Sweet and natural fruit flavor,0,None,7
chocolate ganache,Filling and glazing,0,High in fat,None,7
meringue powder,Meringues and icing,Stable egg white substitute for baking,0,Egg allergies,8
pastry cream powder,Quick custard fillings,0,Varies by brand,None,6
gelatin sheets,Mousses and jellies,0,Animal product,Vegetarians,5
clear glaze,Fruit tarts,"Gives pastries a shiny, appealing look",0,None,6
silver dragées,Decoration,0,Choking hazard,None,5
distilled vinegar,Acetic Acid,"Culinary uses, cleaning",0,None,7
white wine vinegar,Acetic Acid,"Enhances flavor in cooking, mild preservative",0,None,7
malt vinegar,Acetic Acid,0,Contains gluten,Gluten sensitivity,6
cane vinegar,Acetic Acid,Mild flavor for culinary uses,0,None,7
spirit vinegar,High Acetic Acid,"Strong preservative, used in condiments",0,None,7
lemon juice concentrate,Vitamin C,"Flavor enhancement, enriches with Vitamin C",0,None,8
lime juice concentrate,Vitamin C,"Flavor enhancement, Vitamin C source",0,None,8
orange juice concentrate,"Vitamin C, Sugars",0,High sugar content,Diabetes,7
pomegranate molasses,"Antioxidants, Sugars",0,High sugar content,Diabetes,7
worcestershire sauce,"Vitamins, Umami",Adds depth to dishes,0,None,7
hot sauce,Capsaicin,Adds heat without significant calories,0,None,8
barbecue sauce,"Sugars, Spices",0,High sugar content,Diabetes,6
plum sauce,"Sugars, Spices",Adds sweet and tangy flavor,0,None,6
duck sauce,"Sugars, Fruit purees",Adds sweet flavor to dishes,0,None,6
szechuan sauce,"Spices, Umami","Adds bold, spicy flavor",0,None,7
thai sweet basil,"Vitamins, Minerals",Enhances flavor with health benefits,0,None,8
kaffir lime leaves,Flavor,Adds citrus flavor to Thai dishes,0,None,8
galangal,"Flavor, Anti-inflammatory","Enhances flavor, aids digestion",0,None,8
wasabi powder,"Flavor, Antioxidants","Adds heat, potential antimicrobial properties",0,None,7
wasabi paste,"Flavor, Antioxidants","Adds spicy heat, may reduce bacteria",0,None,7
horseradish sauce,"Flavor, Vitamin C","Adds pungent flavor, may aid in sinus relief",0,None,7
za'atar,"Herbs, Sesame seeds","Adds Middle Eastern flavor, nutrient boost",0,None,8
sumac,Antioxidants,"Adds tangy flavor, antioxidant properties",0,None,8
dijon mustard,"Flavor, Antioxidants","Flavor enhancement, contains antioxidants",0,None,8
whole grain mustard,"Seeds, Vinegar",Adds texture and flavor to dishes,0,None,8
yellow mustard seeds,"Flavor, Antioxidants","Used in condiments, potential health benefits",0,None,8
black mustard seeds,"Flavor, Nutrients","Adds spicy flavor, used in Indian cooking",0,None,8
brown mustard seeds,"Flavor, Antioxidants","Adds pungent flavor, used in condiments",0,None,8
mustard powder,Ground mustard seeds,"Flavor enhancement, contains antioxidants",0,None,8
mayonnaise,"Eggs, Oil",0,"Rich flavor for dressings and sauces, high in fat",Heart conditions,5
vegan mayonnaise,Plant-based oils,"Alternative to traditional mayo, lower in saturated fat",0,None,6
aioli,"Garlic, Olive oil",0,"Flavorful condiment for dishes, high in fat",Heart conditions,6
remoulade,"Mayonnaise base, Herbs",0,"Adds rich flavor to seafood, high in fat",Heart conditions,6
tartar sauce,"Mayonnaise base, Pickles",0,"Common with fried fish dishes, high in fat",Heart conditions,6
caesar dressing,"Anchovies, Parmesan",0,"Rich flavor for Caesar salads, high in fat and calories",Heart conditions,5
italian dressing,"Vinegar, Herbs","Adds zest to salads, marinades",0,None,7
ranch dressing,"Buttermilk, Herbs",0,"Popular in salads and as a dip, high in fat",Heart conditions,5
thousand island dressing,"Mayonnaise base, Ketchup",0,"Sweet and tangy flavor for salads, high in sugar and fat","Diabetes, Heart conditions",5
vinaigrette,"Oil, Vinegar","Light dressing option, customizable",0,None,6
balsamic glaze,"Balsamic Vinegar, Sugar",0,"Adds sweet depth to dishes, decorative, high in sugar",Diabetes,6
anchovy paste,"Anchovies, Salt",0,"Umami depth for dressings and sauces, high in sodium",Hypertension,6
capers in brine,Brined or Salted,0,"Adds tanginess, vitamin-rich",Hypertension,7
pickled ginger,"Ginger, Vinegar","Served with sushi, aids digestion",0,Hypertension,7
gherkins,"Fiber, Vitamin K","Adds crunch and tanginess, digestive aid",0,Hypertension,7
cornichons,"Fiber, Antioxidants","Similar to gherkins, provides tangy flavor",0,Hypertension,7
olive tapenade,"Healthy Fats, Fiber","Rich in monounsaturated fats, flavor enhancer",0,None,8
green olive paste,"Vitamins, Minerals","Adds Mediterranean flavor, heart healthy",0,None,8
black olive paste,"Iron, Dietary Fiber","Flavorful addition to dishes, nutrient-rich",0,None,8
truffle oil,Aromatic Compounds,Adds luxurious flavor to dishes,0,None,7
sesame oil,"Vitamin E, Healthy Fats","Promotes heart health, adds nutty flavor",0,None,8
herb-infused oils,Phytonutrients,Enhances flavor with health benefits of herbs,0,None,8
anchovies in oil,Omega-3 Fatty Acids,"Rich in protein and omega-3, flavor enhancer",0,Hypertension,7
sardines in sauce,"Omega-3, Calcium","High in omega-3 and calcium, nutritious",0,Hypertension,7
acetic acid,Preservative ,0,Concentrated form can be corrosive,None,5
anchovy extract,Umami Flavor,Enhances flavors in sauces and dressings,0,Hypertension,6
annatto seeds,Antioxidants,"Natural food coloring, mild flavor enhancement",0,None,7
apple juice concentrate,Natural Sugars,"Sweetens naturally, can concentrate nutrients",0,Diabetes,6
apricot puree,"Vitamin A, C","Natural sweetener, adds moisture and nutrients",0,None,7
arrowroot starch,Carbohydrates,"Thickening agent, gluten-free",0,None,8
black garlic paste,Antioxidants,"Enhanced sweet flavor, immune support",0,None,8
black olives,Healthy Fats,"Adds depth to recipes, contains healthy fats",0,None,8
buffalo sauce,Capsaicin,"Adds spicy, tangy flavor to dishes",0,None,5
caraway seed oil,Essential Oils,"Flavoring for breads, potential digestive aid",0,None,7
celery seeds,Antioxidants,"Flavor enhancement, potential anti-inflammatory benefits",0,None,7
chervil,"Vitamins, Minerals","Adds mild, anise-flavored herbiness to dishes",0,None,8
chipotle peppers in adobo,"Capsaicin, Vitamins","Adds smoky heat, rich in antioxidants",0,None,7
chive oil,"Vitamins, Antioxidants","Flavor enhancement, rich in nutrients",0,None,8
coconut aminos,Amino Acids,"Soy sauce alternative, lower in sodium",0,None,8
cornichon pickles,"Fiber, Vitamin K","Adds crunch and tanginess, digestive aid",0,Hypertension,7
cream of coconut,Saturated Fats,0,High in saturated fat,Heart conditions,5
creme fraiche,"Fat, Probiotics",0,High in fat,Heart conditions,6
crystallized ginger,"Sugars, Gingerol",indigestion,0,Diabetes,6
curry leaves powder,Antioxidants,potential health benefits,0,None,8
dill weed,"Vitamins, Minerals","Flavor enhancement, supports digestion",0,None,8
elderflower syrup,Flavor,0,High sugar content,Diabetes,6
fish extract,"Protein, Omega-3","Flavor enhancer, nutritious",0,Hypertension,6
garlic salt,"Sodium, Garlic Compounds","Convenient seasoning, adds garlic flavor",0,Hypertension,5
ginger paste,"Gingerol, Fiber","Adds spice and flavor, digestive aid",0,None,8
green chili paste,Capsaicin,Adds heat and flavor to dishes,0,None,8
green olives,"Healthy Fats, Fiber","Adds Mediterranean flavor, contains healthy fats",0,None,8
guava puree,"Vitamin C, Fiber","Natural sweetener, adds tropical flavor",0,None,8
hickory smoke flavor,Flavor Compounds,0,Artificial components,None,6
honey mustard,"Honey, Mustard",Sweet and tangy condiment,0,Diabetes,6
horseradish powder,Glucosinolates,"Adds pungent flavor, may support respiratory health",0,None,7
jalapeno puree,"Capsaicin, Vitamins",Spicy flavor enhancer,0,None,8
kalamata olives,Healthy Fats,"Rich flavor, heart-healthy",0,None,8
rice cereal,"Simple carbs, Iron",Iron-fortified for development,0,Arsenic sensitivity,6
oatmeal cereal,"Fiber, Protein",Supports heart and digestive health,0,Gluten sensitivity (if not certified GF),8
barley cereal,"Fiber, Vitamins B","Rich in fiber, supports digestion",0,Celiac disease,5
multigrain cereal,Various nutrients,"High in fiber, supports heart health",0,Celiac disease,7
banana puree,"Potassium, Vitamin C","Natural sweetness, nutrient boost",0,None,9
